"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150"
14.707,13.898,12.123,12.707,13.486,11.799,12.579,12.334,13.027,11.498,14.751,15.16,14.697,13.811,15.194,14.343,14.933,13.842,13.79,13.23,13.887,13.221,13.383,15.758,15.796,12.741,13.09,15.095,14.764,14.762,15.246,14.635,12.95,14.544,14.979,13.268,14.911,15.455,13.823,14.62,15.291,16.238,14.763,15.43,15.505,15.85,16.948,17.77,17.965,15.335,19.093,19.054,15.362,16.492,16.89,18.054,18.8,18.883,17.516,16.408,15.15,15.656,16.894,16.829,17.388,15.882,14.815,15.521,16.579,12.822,16.195,14.869,13.478,14.796,13.939,12.848,13.962,15.01,14.723,14.266,15.574,15.816,11.549,13.752,13.558,13.808,15.765,15.373,14.399,14.053,15.209,14.866,16.345,16.693,16.641,15.715,14.629,16.265,15.432,13.127,13.509,15.116,11.977,16.497,16.911,15.007,13.605,14.676,16.174,16.047,14.914,15.163,15.957,15.66,13.784,12.62,12.985,13.272,14.855,15.227,13.612,12.178,12.772,11.919,15.054,15.935,16.789,16.708,15.159,14.843,13.324,13.334,14.588,14.367,14.354,14.917,14.161,12.119,12.749,12.593,12.403,14.35,15.094,14.779,11.374,14.711,13.894,12.156,12.633,15.371
6.204,10.317,11.502,11.66,11.12,10.279,11.207,11.659,11.335,10.564,11.593,12.154,11.599,12.938,12.173,11.846,13.378,13.44,11.812,13.522,13.07,8.926,10.955,10.046,12.632,13.534,12.36,12.825,12.291,13.748,12.325,12.574,13.558,12.174,12.489,12.74,13.806,13.035,13.051,14.033,12.532,12.512,13.258,12.66,14.856,15.082,15.961,16.643,16.717,17.102,18.122,18.514,17.814,16.934,14.143,14.064,16.86,17.422,16.358,11.054,15.523,16.471,16.729,16.985,15.376,14.527,15.411,15.124,13.908,15.814,15.515,13.328,15.956,15.26,13.335,14.712,16.1,15.464,15.556,15.101,12.844,14.485,11.791,15.448,16.273,16.688,16.264,15.074,15.527,15.778,17.157,16.393,17.093,17.947,17.461,16.106,16.047,15.371,15.258,15.818,13.846,17.221,16.903,15.725,16.504,14.84,15.003,15.898,16.175,15.458,14.674,14.956,14.135,15.419,15.453,14.188,14.54,13.297,13.19,12.771,10.075,12.494,12.757,11.298,14.312,15.035,15.785,15.387,15.182,15.345,15.392,14.431,12.035,14.808,14.876,14.86,15.183,14.078,14.246,14.885,8.076,14.308,14.771,14.456,11.099,13.862,15.204,15.006,14.031,11.474
10.508,9.856,10.62,10.561,8.711,10.598,9.048,11.123,11.888,12.043,10.153,13.333,13.526,12.289,13.338,13.826,14.149,13.04,12.229,10.746,12.035,11.707,11.211,12.524,13.584,13.731,11.271,12.858,11.25,12.624,11.586,13.653,10.799,12.833,12.684,12.32,11.357,10.966,9.836,11.189,11.364,12.275,13.121,11.027,13.612,13.596,13.364,12.859,12.506,10.306,13.362,12.921,8.62,12.291,12.229,8.984,12.627,12.9,14.23,14.037,12.256,13.013,14.673,15.745,15.214,11.734,13.57,13.508,13.44,11.471,13.976,13.889,12.809,13.479,15.02,15.163,14.926,15.078,16.924,17.178,16.85,14.319,16.587,16.024,16.462,18.318,17.519,15.885,16.598,16.259,14.528,16.049,15.175,16.01,16.989,15.584,15.83,14.919,16.211,17.41,18.29,18.407,15.769,18.769,19.744,19.027,19.989,21.108,20.647,18.739,18.716,16.226,18.109,14.376,19.039,19.769,18.187,16.72,14.388,17.728,17.859,16.91,16.9,16.799,16.77,16.735,14.492,15.788,18.635,18.001,18.397,18.189,18.312,17.611,14.678,15.916,15.107,12.739,15.903,17.61,17.549,17.754,17.12,15.613,16.494,15.913,16.903,17.316,17.6,14.014
10.019,6.748,6.726,8.834,9.276,8.396,7.641,7.739,8.117,8.848,8.037,7.044,7.578,8.409,8.626,9.552,9.605,5.745,8.984,9.841,8.675,9.754,9.326,8.949,9.377,7.725,8.244,8.382,8.03,8.339,9.282,9.118,9.876,9.191,10.468,7.081,11.818,11.452,12.947,12.281,11.711,11.06,14.579,14.745,14.184,15.748,16.076,13.972,14.596,16.479,16.251,15.569,15.717,13.68,13.551,14.042,15.546,14.952,11.601,11.292,10.567,12.018,13.131,13.34,13.441,14.898,14.293,13.79,11.041,11.599,14.592,15.19,15.44,15.204,13.995,13.284,14.982,15.072,13.482,13.055,14.496,13.739,13.39,14.273,14.699,14.532,15.052,12.632,9.67,12.328,14.16,13.443,13.62,11.472,11.965,12.293,13.619,11.649,13.277,13.608,12.967,13.94,14.776,14.778,13.798,15.085,15.693,14.225,12.452,10.918,12.959,13.846,13.968,13.671,14.112,11.823,13.517,13.809,13.738,10.856,13.473,14.291,14.878,10.648,12.725,10.473,13.699,13.077,15.294,15.063,12.096,12.92,14.193,14.885,15.335,14.359,14.564,14.231,15.022,15.566,13.779,15.44,15.829,15.88,15.872,15.359,15.217,15.831,15.294,15.242
13.677,11.619,12.077,12.513,15.027,14.148,14.955,14.152,15.29,15.647,16.074,15.231,13.649,16.305,15.988,15.523,15.679,15.693,14.047,15.455,15.419,16.339,15.514,15.331,11.368,13.953,12.606,14.03,13.356,13.996,11.159,12.96,12.441,15.537,15.483,15.214,13.43,14.565,14.88,14.906,14.562,10.417,15.096,11.649,14.362,14.402,16.208,16.326,17.097,15.866,16.74,18.112,16.911,18.421,15.315,19.568,19.59,15.961,17.43,17.581,18.747,19.667,18.926,16.706,15.99,18.116,18.826,18.821,19.138,18.923,17.634,18.498,19.282,18.382,20.192,19.499,17.74,18.574,19.341,17.933,15.776,17.132,16.79,13.954,17.396,16.286,15.073,17.588,15.88,17.5,18.253,17.109,16.292,15.873,16.865,17.032,15.753,16.212,16.858,17.904,16.764,13.499,15.488,16.257,12.732,16.122,14.808,16.159,14.757,17.304,17.837,17.758,17.354,15.609,17.714,16.301,13.998,13.911,13.519,16.452,14.913,14.72,16.831,16.614,14.556,16.347,17.057,16.74,15.973,13.35,16.919,14.095,16.544,17.447,17.242,14.149,17.424,17.567,16.595,16.645,16.754,13.323,16.197,15.763,14.22,15.146,15.858,14.443,16.628,16.923
13.596,13.689,13.285,12.904,11.595,14.054,15.005,16.211,15.7,12.978,13.094,15.089,15.11,13.067,11.522,12.685,12.815,13.6,13.432,13.745,12.871,14.122,13.862,12.752,15.139,15.651,15.05,14.468,12.627,13.069,12.766,14.274,14.345,13.211,9.874,14.61,14.969,13.534,14.923,16.025,15.985,15.718,11.84,14.867,15.209,14.359,13.335,14.278,15.838,16.426,15.998,16.78,15.818,15.663,16.407,15.619,16.036,14.769,11.201,13.252,14.633,14.737,13.028,12.783,12.677,10.823,14.189,15.045,12.046,13.469,15.1,13.585,15.096,16.407,16.374,14.691,14.719,16.155,15.958,16.77,15.871,12.292,14.44,14.591,14.271,14.431,13.692,15.063,16.664,15.718,15.438,15.79,16.242,14.324,15.253,13.624,15.519,15.776,13.072,14.648,16.46,16.175,13.858,14.608,12.922,15.121,14.566,14.038,13.006,12.256,14.169,13.749,13.476,13.527,11.728,12.196,13.528,15.064,15.213,14.848,14.943,14.492,13.823,11.962,12.215,13.614,13.798,13.06,11.969,10.574,10.462,11.639,11.781,12.701,11.727,12.113,13.848,12.594,12.047,13.299,12.454,11.372,12.45,10.967,11.509,12.266,9.557,13.224,14.616,14.687
11.875,8.578,11.16,10.77,12.029,12.366,13.134,13.485,11.988,13.454,13.233,13.558,11.738,9.617,11.337,13.25,12.869,7.984,9.88,11.934,13.555,14.731,13.712,13.337,13.576,11.708,13.564,13.043,14.161,14.75,14.393,13.584,14.285,14.311,14.57,14.866,14.531,13.532,11.585,11.732,14.244,14.796,14.231,13.756,13.775,15.26,15.416,13.006,12.515,11.788,13.601,14.283,14.399,15.191,14.549,14.85,16.714,15.205,15.679,16.085,16.068,16.225,16.044,12.92,14.307,16.239,15.23,16.24,17.065,16.813,17.188,17.018,12.563,15.524,16.613,13.089,16.441,17.95,18.247,17.96,14.988,15.989,15.464,15.982,17.798,15.392,16.795,16.771,15.625,17.035,13.227,17.012,14.713,17.488,17.909,18.12,18.432,17.171,17.325,16,16.992,16.489,18.567,18.894,17.084,18.285,19.214,20.227,19.541,18.716,17.218,19.494,19.554,19.39,19.362,19.556,19.132,17.972,17.285,17.311,16.795,17.445,17.609,18.278,16.365,15.639,17.522,18.023,16.532,17.309,17.837,16.016,17.278,13.566,14.223,16.686,16.86,15.807,14.994,14.739,14.706,12.776,16.258,16.876,17.263,15.429,11.375,13.783,17.044,17.76
10.207,12.514,12.778,12.931,13.138,12.263,13.295,11.819,13.162,12.74,14.175,13.801,12.654,11.706,12.666,13.573,13.259,12.493,12.618,10.549,13.073,14.168,10.344,12.772,12.006,13.804,13.651,13.556,12.647,13.695,14.005,13.669,11.949,11.607,12.062,12.837,13.724,12.698,13.896,14.226,12.668,14.141,13.387,11.998,12.933,13.303,14.035,15.24,13.834,14.769,14.29,12.95,11.765,14.717,15.521,16.002,16.648,16.106,15.533,14.339,13.582,15.288,15.114,14.235,14.355,13.194,15.7,16.311,15.003,14.357,16.081,16.588,15.152,12.086,13.94,15.921,17.143,12.589,16.042,16.805,16.615,18.192,15.36,16.011,17.69,18.05,17.304,18.502,18.211,17.149,17.499,17.304,16.901,17.577,14.293,16.865,17.652,17.046,16.172,16.836,15.939,14.431,15.9,13.972,15.8,15.768,15.388,13.097,15.785,17.63,17.769,16.462,15.77,14.901,14.514,12.79,14.864,13.968,13.316,13.855,13.952,14.641,15.608,15.988,13.427,14.403,16.02,14.45,13.402,14.692,14.843,14.88,16.405,16.477,15.264,14.353,13.374,15.266,14.446,14.364,15.924,15.605,12.773,12.572,14.625,14.222,14.296,13.952,16.313,14.858
11.955,4.924,9.698,11.199,12.532,12.522,13.08,13.246,12.85,11.15,11.727,12.405,11.749,13.214,11.642,7.922,9.701,13.182,13.888,11.668,10.603,11.314,11.75,13.524,12.662,11.226,13.539,13.172,11.999,10.322,10.712,12.45,12.102,10.989,10.768,12.006,11.414,11.767,11.712,14.427,15.565,13.863,14.031,12.177,13.28,12.466,14.904,13.46,12.88,14.513,14.941,13.023,13.469,12.987,14.535,15.566,13.964,15.525,14.611,16.006,13.911,16.242,10.432,17.003,16.67,16.543,16.93,18.174,17.689,16.227,17.408,17.067,17.153,16.642,17.379,18.233,17.438,15.099,17.539,17.328,15.864,15.837,17.264,15.897,16.348,16.997,17.806,17.085,15.126,14.703,16.857,17.436,18.283,17.464,17.275,16.905,16.703,16.998,17.028,17.838,17.678,17.653,16.93,16.983,15.242,16.479,15.206,11.056,14.382,16.257,16.637,17.871,17.65,14.556,16.503,17.527,16.521,15.894,16.852,15.976,10.512,16.264,12.93,16.818,15.59,15.595,15.816,15.39,15.834,16.242,16.866,16.956,15.89,14.827,16.128,16.265,15.935,14.515,14.437,15.031,14.112,15.367,14.73,13.569,12.859,14.822,12.577,15.735,14.974,16.281
11.852,10.724,11.867,5.952,12.122,13.376,13.143,12.64,13.016,13.79,14.289,13.915,14.124,14.718,14.535,13.312,12.864,13.47,13.573,13.206,13.058,13.386,13.901,13.321,14.408,13.549,13.811,13.066,12.236,12.157,11.876,13.203,13.346,13.954,13.521,12.912,11.094,12.94,14.275,13.006,13.443,14.466,13.889,15.841,15.126,15.577,15.417,14.533,15.68,16.249,13.687,15.121,15.348,15.788,15.578,15.259,16.236,14.095,15.667,16.632,17.782,17.931,17.892,16.648,15.054,17.28,16.512,14.964,14.143,13.841,14.929,13.49,13.283,15.022,15.344,14.399,16.401,15.228,15.474,15.257,16.703,15.498,12.899,14.222,14.527,15.234,15.669,13.596,13.645,14.023,15.345,15.667,15.074,14.479,16.428,16.703,16.374,15.055,16.339,16.305,16.372,16.663,16.382,15.009,15.823,15.108,16.672,17.621,16.646,14.24,15.974,15.887,16.666,16.35,14.246,14.767,15.498,17.273,16.904,15.575,16.003,16.327,14.281,13.764,10.523,16.681,16.272,16.008,16.126,15.866,14.478,15.521,15.745,13.083,13.769,15.49,13.722,15.291,12.133,14.89,14.652,16.373,16.174,16.172,15.582,13.111,15.66,16.242,14.459,13.005
9.59,10.714,11.361,11.616,9.998,11.264,12.821,9.463,13.928,13.974,11.89,12.702,11.161,14.167,14.086,11.777,14.441,15.253,11.3,12.125,11.605,14.717,15.327,12.823,14.263,14.856,12.622,14.476,12.65,12.515,10.941,15.185,15.89,15.13,15.084,12.832,12.197,13.526,15.163,14.664,13.397,11.896,14.09,13.412,13.14,11.93,13.321,9.973,13.503,14.572,15.654,14.396,15.692,14.02,13.659,9.797,14.166,15.408,15.361,13.947,14.796,15.228,15.055,16.559,16.056,18.8,17.977,15.563,18.343,19.887,20.472,20.326,19.438,17.124,17.913,19.656,19.281,18.246,17.645,15.571,12.669,16.059,13.312,15.973,17.05,15.641,15.864,15.242,12.836,16.667,16.488,15.795,15.871,15.778,16.777,16.623,17.281,17.754,18.736,18.142,17.299,17.946,16.88,15.11,15.694,17.392,16.383,15.738,16.778,15.667,16.138,13.812,17.987,15.638,16.66,15.54,16.076,14.872,14.301,13.071,15.823,17.134,13.59,14.772,16.112,15.668,15.049,16.784,16.756,15.763,16.322,16.504,16.107,14.585,16.707,16.624,12.381,14.681,13.342,16.238,17.46,17.872,17.268,16.022,15.185,11.652,15.409,15.014,16.206,16.333
